Model,Train Accuracy,Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP,Repeat,Fold,Train Size,Test Size,Train Legitimate,Train Phishing,Test Legitimate,Test Phishing
Multilayer Perceptron,0.8910494709751215,0.8882554161915621,0.5946249567922571,0.9177750906892382,0.9619771863117871,0.22727272727272727,0.9393564356435643,0.9527993974391162,0.24523235604676955,0.8826693743518839,0.9860640746213779,20,68,30,759,3,3,3497,877,441,3056,88,789
SVM,0.8844724049185015,0.9110604332953249,0.5820587049199216,0.9148191365227538,0.9936628643852978,0.17045454545454544,0.9526123936816525,0.9768253177174184,0.33031559862966736,0.811016534162922,0.9763202572704737,15,73,5,784,3,3,3497,877,441,3056,88,789
Decision Tree,0.8823696952435204,0.8690614136732329,0.5,0.8690614136732329,1.0,0.0,0.9299442033477991,0.9707481232202951,0.0,0.8201002949852508,0.9594242932421684,0,113,0,750,3,4,3511,863,416,3095,113,750
Random Forest,0.8815152378239818,0.8690614136732329,0.5,0.8690614136732329,1.0,0.0,0.9299442033477991,0.9707481232202951,0.0,0.863386430678466,0.9778051558136664,0,113,0,750,3,4,3511,863,416,3095,113,750
XGBoost,0.9045855881515238,0.8760139049826188,0.5453392330383481,0.8795749704840614,0.9933333333333333,0.09734513274336283,0.9329993738259236,0.9682869768650897,0.2267630668208173,0.8534513274336284,0.9762458853456455,11,102,5,745,3,4,3511,863,416,3095,113,750
Multilayer Perceptron,0.8991740244944461,0.8783314020857474,0.5466725663716814,0.8798586572438163,0.996,0.09734513274336283,0.9343339587242027,0.970381917381138,0.24925487901105303,0.8537758112094396,0.9745970693509396,11,102,3,747,3,4,3511,863,416,3095,113,750
SVM,0.8929080034178297,0.8771726535341831,0.5422477876106194,0.8788235294117647,0.996,0.08849557522123894,0.93375,0.9701298701298702,0.23400367676256173,0.7659646017699114,0.9606444833968015,10,103,3,747,3,4,3511,863,416,3095,113,750
Decision Tree,0.8871838590508667,0.9111111111111111,0.5582979586740745,0.9133016627078385,0.9961139896373057,0.12048192771084337,0.952912019826518,0.9783715012722646,0.282100150694297,0.86685342405893,0.9795289018269474,10,73,3,769,3,5,3519,855,446,3073,83,772
Random Forest,0.8780903665814151,0.904093567251462,0.5060240963855421,0.9039812646370023,1.0,0.012048192771084338,0.949569495694957,0.9791983764586504,0.10436158554657556,0.9024127598476809,0.9886391500475216,1,82,0,772,3,5,3519,855,446,3073,83,772
XGBoost,0.8988348962773515,0.904093567251462,0.5759176602784194,0.9166666666666666,0.9831606217616581,0.1686746987951807,0.94875,0.9691011235955056,0.2570534615487211,0.879065484736875,0.9855824220963535,14,69,13,759,3,5,3519,855,446,3073,83,772
Multilayer Perceptron,0.8903097470872406,0.9122807017543859,0.5750749110431362,0.9163679808841099,0.9935233160621761,0.1566265060240964,0.9533871970167807,0.9770700636942675,0.30965174855384303,0.9043323553280478,0.9889626551662298,13,70,5,767,3,5,3519,855,446,3073,83,772
SVM,0.8846263142938334,0.9111111111111111,0.5690508146575941,0.9152744630071599,0.9935233160621761,0.14457831325301204,0.9527950310559006,0.9768211920529801,0.2928869548865223,0.8409700980086148,0.9814785765178604,12,71,5,767,3,5,3519,855,446,3073,83,772
