Threshold,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,False Positive Rate,F1,F2,MCC,TN,FP,FN,TP,Model,Threshold Selection,Repeat,Fold,Selected Threshold,Test Size,Test Legitimate,Test Phishing
0.5,0.8846153846153846,0.5048543689320388,0.8844847112117781,1.0,0.009708737864077669,0.9902912621359223,0.9387019230769231,0.9745445470426753,0.09266730926243404,1,102,0,781,XGBoost — URL-Only Features,Default threshold,3,2,0.88,884,103,781
0.88,0.6493212669683258,0.7888939994778912,0.9937106918238994,0.6069142125480154,0.970873786407767,0.02912621359223301,0.753577106518283,0.6581505137461816,0.3719257540426632,100,3,307,474,XGBoost — URL-Only Features,Validation-selected threshold,3,2,0.88,884,103,781
0.5,0.8850174216027874,0.5694259997048842,0.8902147971360382,0.9907038512616202,0.14814814814814814,0.8518518518518519,0.9377749842866122,0.9688311688311688,0.28521711084419504,16,92,7,746,XGBoost — Full 16 Features,Default threshold,3,3,0.87,861,108,753
0.87,0.7770034843205574,0.8011288180610889,0.9698492462311558,0.7689243027888446,0.8333333333333334,0.16666666666666666,0.8577777777777778,0.802161263507897,0.43261597466037216,90,18,174,579,XGBoost — Full 16 Features,Validation-selected threshold,3,3,0.87,861,108,753
0.5,0.8745644599303136,0.5,0.8745644599303136,1.0,0.0,1.0,0.9330855018587361,0.9721146398140976,0.0,0,108,0,753,XGBoost — URL-Only Features,Default threshold,3,3,0.89,861,108,753
0.89,0.7119628339140535,0.8234285081894643,0.9941291585127201,0.6746347941567065,0.9722222222222222,0.027777777777777776,0.8037974683544303,0.7209764405336361,0.43618747105525985,105,3,245,508,XGBoost — URL-Only Features,Validation-selected threshold,3,3,0.89,861,108,753
0.5,0.8764044943820225,0.5767375796313374,0.880648899188876,0.9908735332464146,0.16260162601626016,0.8373983739837398,0.9325153374233128,0.9666751462732129,0.3088168938908201,20,103,7,760,XGBoost — Full 16 Features,Default threshold,3,4,0.87,890,123,767
0.87,0.7595505617977528,0.7581009317263968,0.9510603588907015,0.7601043024771839,0.7560975609756098,0.24390243902439024,0.8449275362318841,0.7919043738114643,0.38476865382876857,93,30,184,583,XGBoost — Full 16 Features,Validation-selected threshold,3,4,0.87,890,123,767
0.5,0.8617977528089887,0.5034131501680076,0.8626126126126126,0.9986962190352021,0.008130081300813009,0.991869918699187,0.9256797583081571,0.968149646107179,0.04975241299998211,1,122,1,766,XGBoost — URL-Only Features,Default threshold,3,4,0.9,890,123,767
0.9,0.698876404494382,0.791161849037004,0.9807321772639692,0.6636245110821382,0.9186991869918699,0.08130081300813008,0.7916018662519441,0.7095065514357402,0.4076092850347484,113,10,258,509,XGBoost — URL-Only Features,Validation-selected threshold,3,4,0.9,890,123,767
0.5,0.8963133640552995,0.5931428866485084,0.9034564958283671,0.9882659713168188,0.19801980198019803,0.801980198019802,0.9439601494396015,0.9700537496800614,0.33239775235397495,20,81,9,758,XGBoost — Full 16 Features,Default threshold,3,5,0.75,868,101,767
0.75,0.8421658986175116,0.7688370531968451,0.9525862068965517,0.864406779661017,0.6732673267326733,0.32673267326732675,0.9063568010936432,0.880712008501594,0.4325224432589184,68,33,104,663,XGBoost — Full 16 Features,Validation-selected threshold,3,5,0.75,868,101,767
0.5,0.8824884792626728,0.507945318651813,0.8852838933951332,0.9960886571056062,0.019801980198019802,0.9801980198019802,0.9374233128834356,0.9717629102009667,0.06733010380586373,2,99,3,764,XGBoost — URL-Only Features,Default threshold,3,5,0.83,868,101,767
0.83,0.7016129032258065,0.8053687376560341,0.9884615384615385,0.6701434159061278,0.9405940594059405,0.0594059405940594,0.7987567987567987,0.7162764771460424,0.39959647135607773,95,6,253,514,XGBoost — URL-Only Features,Validation-selected threshold,3,5,0.83,868,101,767
