Model,Threshold Selection,Repeat,Fold,Prevalence,Recall,Specificity,False Positive Rate,Expected TP per 1M URLs,Expected FP per 1M URLs,Expected FN per 1M URLs,Expected TN per 1M URLs,Expected Alerts per 1M URLs,Projected Precision
XGBoost — URL-Only Features,Validation-selected threshold,1,1,0.5,0.6303797468354431,0.9911504424778761,0.008849557522123908,315189.87341772154,4424.778761061953,184810.12658227846,495575.22123893804,319614.6521787835,0.9861558951352867
XGBoost — URL-Only Features,Validation-selected threshold,1,1,0.1,0.6303797468354431,0.9911504424778761,0.008849557522123908,63037.97468354431,7964.601769911516,36962.02531645569,892035.3982300885,71002.57645345583,0.8878265808405905
XGBoost — URL-Only Features,Validation-selected threshold,1,1,0.05,0.6303797468354431,0.9911504424778761,0.008849557522123908,31518.987341772154,8407.079646017712,18481.012658227846,941592.9203539822,39926.06698778986,0.789433814039616
XGBoost — URL-Only Features,Validation-selected threshold,1,1,0.01,0.6303797468354431,0.9911504424778761,0.008849557522123908,6303.797468354431,8761.061946902668,3696.2025316455693,981238.9380530973,15064.859415257099,0.41844382974926353
XGBoost — URL-Only Features,Validation-selected threshold,1,1,0.005,0.6303797468354431,0.9911504424778761,0.008849557522123908,3151.8987341772154,8805.309734513288,1848.1012658227846,986194.6902654867,11957.208468690504,0.2635982087650594
XGBoost — URL-Only Features,Validation-selected threshold,1,1,0.001,0.6303797468354431,0.9911504424778761,0.008849557522123908,630.379746835443,8840.707964601783,369.6202531645569,990159.2920353982,9471.087711437225,0.06655832635508174
XGBoost — Full 16 Features,Default threshold,1,2,0.5,0.9770408163265306,0.21978021978021978,0.7802197802197802,488520.4081632653,390109.89010989014,11479.591836734693,109890.10989010989,878630.2982731555,0.5560022333891681
XGBoost — Full 16 Features,Default threshold,1,2,0.1,0.9770408163265306,0.21978021978021978,0.7802197802197802,97704.08163265306,702197.8021978022,2295.9183673469383,197802.1978021978,799901.8838304552,0.12214508255035204
XGBoost — Full 16 Features,Default threshold,1,2,0.05,0.9770408163265306,0.21978021978021978,0.7802197802197802,48852.04081632653,741208.7912087912,1147.9591836734692,208791.20879120877,790060.8320251177,0.061833265029867246
XGBoost — Full 16 Features,Default threshold,1,2,0.01,0.9770408163265306,0.21978021978021978,0.7802197802197802,9770.408163265307,772417.5824175824,229.59183673469386,217582.41758241758,782187.9905808477,0.012491125254952924
XGBoost — Full 16 Features,Default threshold,1,2,0.005,0.9770408163265306,0.21978021978021978,0.7802197802197802,4885.2040816326535,776318.6813186813,114.79591836734693,218681.3186813187,781203.885400314,0.006253430343769115
XGBoost — Full 16 Features,Default threshold,1,2,0.001,0.9770408163265306,0.21978021978021978,0.7802197802197802,977.0408163265306,779439.5604395604,22.959183673469386,219560.43956043955,780416.601255887,0.0012519477606629918
XGBoost — Full 16 Features,Validation-selected threshold,1,2,0.5,0.8239795918367347,0.7692307692307693,0.23076923076923073,411989.7959183674,115384.61538461536,88010.20408163262,384615.3846153846,527374.4113029827,0.7812093023255815
XGBoost — Full 16 Features,Validation-selected threshold,1,2,0.1,0.8239795918367347,0.7692307692307693,0.23076923076923073,82397.95918367348,207692.30769230766,17602.040816326524,692307.6923076924,290090.2668759811,0.2840424812284381
XGBoost — Full 16 Features,Validation-selected threshold,1,2,0.05,0.8239795918367347,0.7692307692307693,0.23076923076923073,41198.97959183674,219230.7692307692,8801.020408163262,730769.2307692309,260429.74882260594,0.15819613457408735
XGBoost — Full 16 Features,Validation-selected threshold,1,2,0.01,0.8239795918367347,0.7692307692307693,0.23076923076923073,8239.795918367348,228461.5384615384,1760.2040816326526,761538.4615384616,236701.33437990575,0.03481093987050564
XGBoost — Full 16 Features,Validation-selected threshold,1,2,0.005,0.8239795918367347,0.7692307692307693,0.23076923076923073,4119.897959183674,229615.38461538457,880.1020408163263,765384.6153846154,233735.28257456823,0.01762634170504108
XGBoost — Full 16 Features,Validation-selected threshold,1,2,0.001,0.8239795918367347,0.7692307692307693,0.23076923076923073,823.9795918367347,230538.4615384615,176.02040816326524,768461.5384615385,231362.44113029825,0.0035614233140490053
XGBoost — URL-Only Features,Default threshold,1,2,0.5,0.9948979591836735,0.01098901098901099,0.989010989010989,497448.97959183675,494505.49450549454,2551.0204081632405,5494.505494505495,991954.4740973313,0.5014836795252225
