Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP,Feature Subset,Number of Features,Repeat,Fold,Train Size,Test Size,Train Legitimate,Train Phishing,Test Legitimate,Test Phishing
0.8799102132435466,0.5,0.8799102132435466,1.0,0.0,0.9361194029850747,0.9734293518748448,0.0,0.6563632462330726,0.9207290292696778,0,107,0,784,Domain Features Only,4,3,2,3483,891,422,3061,107,784
0.8754208754208754,0.5297301163456036,0.886337543053961,0.9846938775510204,0.07476635514018691,0.9329305135951662,0.963314200149738,0.1304825541527185,0.5451614056837688,0.8925963910641718,8,99,12,772,HTML/JavaScript Features Only,4,3,2,3483,891,422,3061,107,784
0.8765432098765432,0.49808673469387754,0.8795045045045045,0.9961734693877551,0.0,0.9342105263157895,0.970427435387674,-0.021472766522996768,0.852463999618539,0.9764415345015687,0,107,3,781,URL-Only Features,8,3,2,3483,891,422,3061,107,784
0.8821548821548821,0.5618026416173946,0.8933951332560834,0.9834183673469388,0.14018691588785046,0.936247723132969,0.9639909977494373,0.2303045619837964,0.8825338546633605,0.982910875643412,15,92,13,771,Full 16-Feature Set,16,3,2,3483,891,422,3061,107,784
0.8820224719101124,0.5041249620867455,0.8828828828828829,0.9987261146496815,0.009523809523809525,0.9372384937238494,0.9731876861966237,0.05620280020703096,0.823682135274492,0.9728743728267545,1,104,1,784,Address-Bar Features Only,8,3,3,3484,890,424,3060,105,785
0.8820224719101124,0.5,0.8820224719101124,1.0,0.0,0.9373134328358209,0.9739454094292804,0.0,0.5594843797391569,0.8904360304166927,0,105,0,785,Domain Features Only,4,3,3,3484,890,424,3060,105,785
0.8876404494382022,0.5733090688504702,0.8977932636469221,0.9847133757961783,0.1619047619047619,0.9392466585662211,0.9660084978755311,0.2663891929776474,0.5956566575674855,0.9014005853231657,17,88,12,773,HTML/JavaScript Features Only,4,3,3,3484,890,424,3060,105,785
0.8820224719101124,0.5041249620867455,0.8828828828828829,0.9987261146496815,0.009523809523809525,0.9372384937238494,0.9731876861966237,0.05620280020703096,0.823682135274492,0.9728743728267545,1,104,1,784,URL-Only Features,8,3,3,3484,890,424,3060,105,785
0.8808988764044944,0.5612374886260236,0.8952270081490105,0.9796178343949045,0.14285714285714285,0.9355231143552312,0.9614903725931483,0.215476253850722,0.851507430997877,0.9783305250338873,15,90,16,769,Full 16-Feature Set,16,3,3,3484,890,424,3060,105,785
0.863481228668942,0.4993421052631579,0.8644646924829157,0.9986842105263158,0.0,0.9267399267399268,0.9686064318529862,-0.013354247674187116,0.8060924369747897,0.9654692914979518,0,119,1,759,Address-Bar Features Only,8,3,4,3495,879,410,3085,119,760
0.8646188850967008,0.5,0.8646188850967008,1.0,0.0,0.9273947528981086,0.9696351109977035,0.0,0.5919283502874834,0.8914656125194237,0,119,0,760,Domain Features Only,4,3,4,3495,879,410,3085,119,760
0.8691695108077361,0.5664197257850508,0.8807556080283353,0.9815789473684211,0.15126050420168066,0.9284380833851898,0.9596089529199897,0.24265578887769407,0.5868642193719594,0.8865106786631145,18,101,14,746,HTML/JavaScript Features Only,4,3,4,3495,879,410,3085,119,760
0.863481228668942,0.4993421052631579,0.8644646924829157,0.9986842105263158,0.0,0.9267399267399268,0.9686064318529862,-0.013354247674187116,0.8060924369747897,0.9654692914979518,0,119,1,759,URL-Only Features,8,3,4,3495,879,410,3085,119,760
0.8805460750853242,0.5942613887660327,0.8875739644970414,0.9868421052631579,0.20168067226890757,0.9345794392523364,0.9652509652509652,0.33448472806303725,0.8514871738168951,0.9745922582939863,24,95,10,750,Full 16-Feature Set,16,3,4,3495,879,410,3085,119,760
0.8775267538644471,0.5,0.8775267538644471,1.0,0.0,0.934768841038632,0.972844713946744,0.0,0.8681821769674009,0.9793380784327477,0,103,0,738,Address-Bar Features Only,8,3,5,3533,841,426,3107,103,738
0.8775267538644471,0.5,0.8775267538644471,1.0,0.0,0.934768841038632,0.972844713946744,0.0,0.6457494672034098,0.9120800951060882,0,103,0,738,Domain Features Only,4,3,5,3533,841,426,3107,103,738
0.8751486325802615,0.5529441944904886,0.8892988929889298,0.9796747967479674,0.1262135922330097,0.9323017408123792,0.9601593625498008,0.19349548943782532,0.5792222485331651,0.8956846984350373,13,90,15,723,HTML/JavaScript Features Only,4,3,5,3533,841,426,3107,103,738
0.8775267538644471,0.5,0.8775267538644471,1.0,0.0,0.934768841038632,0.972844713946744,0.0,0.8681821769674009,0.9793380784327477,0,103,0,738,URL-Only Features,8,3,5,3533,841,426,3107,103,738
0.8906064209274673,0.5742823690372826,0.8939024390243903,0.9932249322493225,0.1553398058252427,0.9409499358151476,0.9716330858960763,0.31213750981491034,0.8933222827373904,0.9841109267300143,16,87,5,733,Full 16-Feature Set,16,3,5,3533,841,426,3107,103,738
